2025-04-27 18:54:27.690 [http-nio-10253-exec-3] INFO  c.n.f.i.c.EntryApiController - [실시간 출입 통계] 조회됨: com.nhnacademy.frontservice.influxdb.realtime.dto.EntryRealtimeDto@30784b60
2025-04-27 18:54:29.552 [http-nio-10253-exec-2] INFO  c.n.f.i.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-04-21","count":0}
2025-04-27 18:54:29.552 [http-nio-10253-exec-2] INFO  c.n.f.i.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-04-22","count":0}
2025-04-27 18:54:29.552 [http-nio-10253-exec-2] INFO  c.n.f.i.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-04-23","count":0}
2025-04-27 18:54:29.552 [http-nio-10253-exec-2] INFO  c.n.f.i.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-04-24","count":0}
2025-04-27 18:54:29.552 [http-nio-10253-exec-2] INFO  c.n.f.i.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-04-25","count":1273}
2025-04-27 18:54:29.552 [http-nio-10253-exec-2] INFO  c.n.f.i.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-04-26","count":1544}
2025-04-27 18:54:29.552 [http-nio-10253-exec-2] INFO  c.n.f.i.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-04-27","count":1546}
2025-04-27 18:54:29.552 [http-nio-10253-exec-2] INFO  c.n.f.i.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-04-27","count":626}
2025-04-27 18:54:29.552 [http-nio-10253-exec-2] INFO  c.n.f.i.c.EntryApiController - [월간 출입 통계] 조회됨: [com.nhnacademy.frontservice.influxdb.EntryCountDto@464189cc, com.nhnacademy.frontservice.influxdb.EntryCountDto@61715830, com.nhnacademy.frontservice.influxdb.EntryCountDto@2a035913, com.nhnacademy.frontservice.influxdb.EntryCountDto@48fb99fd, com.nhnacademy.frontservice.influxdb.EntryCountDto@23e76c7, com.nhnacademy.frontservice.influxdb.EntryCountDto@69e50e68, com.nhnacademy.frontservice.influxdb.EntryCountDto@591e1986, com.nhnacademy.frontservice.influxdb.EntryCountDto@4dbe4729]
2025-04-27 18:54:48.450 [http-nio-10253-exec-5] INFO  c.n.f.i.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-04-21","count":0}
