2025-04-24 09:56:48.515 [http-nio-10253-exec-2] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-23 08:02 | 출입자 수: 1
2025-04-24 09:57:09.051 [http-nio-10253-exec-2] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-23 08:02 | 출입자 수: 1
2025-04-24 09:58:19.166 [http-nio-10253-exec-10] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-23 08:02 | 출입자 수: 1
2025-04-24 10:01:22.753 [http-nio-10253-exec-3] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-23 08:02 | 출입자 수: 1
2025-04-24 10:01:59.534 [http-nio-10253-exec-6] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-23 08:02 | 출입자 수: 1
2025-04-24 10:04:43.018 [http-nio-10253-exec-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-23 08:02 | 출입자 수: 1
2025-04-24 10:05:23.807 [http-nio-10253-exec-4] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-23 08:02 | 출입자 수: 1
2025-04-24 10:05:30.208 [http-nio-10253-exec-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-23 08:02 | 출입자 수: 1
2025-04-24 10:05:33.379 [http-nio-10253-exec-4] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-23 08:02 | 출입자 수: 1
2025-04-24 10:06:08.746 [http-nio-10253-exec-2] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-23 08:02 | 출입자 수: 1
2025-04-24 10:08:42.600 [http-nio-10253-exec-7] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-23 08:02 | 출입자 수: 1
2025-04-24 10:08:43.337 [http-nio-10253-exec-9] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-23 08:02 | 출입자 수: 1
2025-04-24 13:33:22.279 [http-nio-10253-exec-2] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 04:33 | 출입자 수: 1
2025-04-24 13:33:36.150 [http-nio-10253-exec-8] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 04:33 | 출입자 수: 1
2025-04-24 13:34:36.052 [http-nio-10253-exec-2] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 04:34 | 출입자 수: 1
2025-04-24 13:35:36.158 [http-nio-10253-exec-4] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 04:35 | 출입자 수: 1
2025-04-24 13:36:36.676 [http-nio-10253-exec-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 04:36 | 출입자 수: 1
2025-04-24 13:37:36.683 [http-nio-10253-exec-6] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 04:36 | 출입자 수: 1
2025-04-24 13:40:41.010 [http-nio-10253-exec-4] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 13:36 | 출입자 수: 1
2025-04-24 13:41:20.954 [http-nio-10253-exec-4] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 04:41 | 출입자 수: 1
2025-04-24 13:42:20.302 [http-nio-10253-exec-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 04:42 | 출입자 수: 1
2025-04-24 13:43:20.439 [http-nio-10253-exec-8] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 04:43 | 출입자 수: 1
2025-04-24 13:44:03.592 [http-nio-10253-exec-4] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 04:44 | 출입자 수: 0
