2025-05-01 09:27:39.163 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:27 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:27","count":0}
2025-05-01 09:28:08.406 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:28 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:28","count":0}
2025-05-01 09:28:38.363 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:28 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:28","count":0}
2025-05-01 09:29:08.360 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:29 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:29","count":0}
2025-05-01 09:29:38.363 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:29 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:29","count":0}
2025-05-01 09:30:08.727 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:30 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:30","count":0}
2025-05-01 09:30:38.365 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:30 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:30","count":0}
2025-05-01 09:31:08.362 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:31 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:31","count":0}
2025-05-01 09:31:38.374 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:31 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:31","count":0}
2025-05-01 09:32:08.360 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:32 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:32","count":0}
2025-05-01 09:32:38.366 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:32 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:32","count":0}
