2025-05-07 10:49:56.356 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-07 01:49 | 출입자 수: 1 | 데이터: {"time":"2025-05-07 01:49","count":1}
2025-05-07 10:50:25.803 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-07 01:50 | 출입자 수: 0 | 데이터: {"time":"2025-05-07 01:50","count":0}
2025-05-07 10:50:55.441 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-07 01:50 | 출입자 수: 1 | 데이터: {"time":"2025-05-07 01:50","count":1}
2025-05-07 10:51:13.616 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-07 01:51 | 출입자 수: 0 | 데이터: {"time":"2025-05-07 01:51","count":0}
2025-05-07 10:51:42.902 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-07 01:51 | 출입자 수: 0 | 데이터: {"time":"2025-05-07 01:51","count":0}
2025-05-07 10:52:15.119 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-07 01:52 | 출입자 수: 0 | 데이터: {"time":"2025-05-07 01:52","count":0}
2025-05-07 10:52:26.556 [http-nio-10253-exec-6] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-07 01:52 | 출입자 수: 0 | 데이터: {"time":"2025-05-07 01:52","count":0}
2025-05-07 10:52:44.482 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-07 01:52 | 출입자 수: 0 | 데이터: {"time":"2025-05-07 01:52","count":0}
2025-05-07 10:53:07.087 [http-nio-10253-exec-2] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-07 01:53 | 출입자 수: 0 | 데이터: {"time":"2025-05-07 01:53","count":0}
2025-05-07 10:53:14.470 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-07 01:53 | 출입자 수: 0 | 데이터: {"time":"2025-05-07 01:53","count":0}
2025-05-07 10:53:44.473 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-07 01:53 | 출입자 수: 0 | 데이터: {"time":"2025-05-07 01:53","count":0}
2025-05-07 10:54:07.070 [http-nio-10253-exec-8] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-07 01:54 | 출입자 수: 0 | 데이터: {"time":"2025-05-07 01:54","count":0}
2025-05-07 10:54:14.469 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-07 01:54 | 출입자 수: 0 | 데이터: {"time":"2025-05-07 01:54","count":0}
2025-05-07 10:54:44.474 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-07 01:54 | 출입자 수: 0 | 데이터: {"time":"2025-05-07 01:54","count":0}
2025-05-07 10:55:11.490 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-07 01:55 | 출입자 수: 0 | 데이터: {"time":"2025-05-07 01:55","count":0}
2025-05-07 10:55:40.774 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-07 01:55 | 출입자 수: 0 | 데이터: {"time":"2025-05-07 01:55","count":0}
2025-05-07 10:56:10.773 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-07 01:56 | 출입자 수: 0 | 데이터: {"time":"2025-05-07 01:56","count":0}
2025-05-07 10:56:40.836 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-07 01:56 | 출입자 수: 0 | 데이터: {"time":"2025-05-07 01:56","count":0}
2025-05-07 10:57:09.212 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-07 01:57 | 출입자 수: 0 | 데이터: {"time":"2025-05-07 01:57","count":0}
2025-05-07 10:57:17.383 [http-nio-10253-exec-2] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-07 01:57 | 출입자 수: 0 | 데이터: {"time":"2025-05-07 01:57","count":0}
2025-05-07 10:57:38.497 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-07 01:57 | 출입자 수: 0 | 데이터: {"time":"2025-05-07 01:57","count":0}
